company,source_type,text
Meta,wikipedia,"In 2018, theOculusleadJason Rubinsent his 50-page vision document titled ""The Metaverse"" to Facebook's leadership. In the document, Rubin acknowledged that Facebook'svirtual realitybusiness had not caught on as expected, despite the hundreds of millions of dollars spent on content for early adopters. He also urged the company to execute fast and invest heavily in the vision, to shut outHTC,Apple,Googleand other competitors in theVR space. Regarding other players' participation in the metaverse vision, he called for the company to build the ""metaverse"" to prevent their competitors from ""being in the VR business in a meaningful way at all"".[45]"
Meta,wikipedia,"In May 2019, Facebook foundedLibra Networks, reportedly to develop their ownstablecoincryptocurrency.[46]Later, it was reported that Libra was being supported by financial companies such asVisa,Mastercard,PayPalandUber. The consortium of companies was expected to pool in $10 million each to fund the launch of thecryptocurrency coinnamed Libra.[47]Depending on when it would receive approval from theSwiss Financial Market Supervisoryauthority to operate as a payments service, the Libra Association had planned to launch a limited format cryptocurrency in 2021.[48]Libra was renamed Diem, before being shut down and sold in January 2022 after backlash fromSwiss government regulatorsand the public.[49][50]"
Meta,wikipedia,"During theCOVID-19 pandemic, the use of online services, including Facebook, grew globally.[51]Zuckerbergpredicted this would be a ""permanent acceleration"" that would continue after the pandemic. Facebook hired aggressively, growing from 48,268 employees in March 2020 to more than 87,000 by September 2022.[51]"
Meta,wikipedia,"Following a period of intense scrutiny and damagingwhistleblower leaks, news started to emerge on October 21, 2021 about Facebook's plan torebrandthe company and change its name.[12][52]In the Q3 2021 earnings call on October 25, Mark Zuckerberg discussed the ongoing criticism of the company's social services and the way it operates, and pointed to the pivoting efforts to building themetaverse– without mentioning the rebranding and the name change.[53]The metaverse vision and the name change from Facebook, Inc. to Meta Platforms was introduced at Facebook Connect on October 28, 2021.[13]Based on Facebook's PR campaign, the name change reflects the company's shifting long term focus of building the metaverse, a digital extension of the physical world bysocial media, virtual reality and augmented reality features.[13][54]"
Meta,wikipedia,"""Meta"" had beenregisteredas atrademarkin the United States in 2018 (after an initial filing in 2015) for marketing, advertising, and computer services, bya Canadian companythat providedbig dataanalysis ofscientific literature.[55]This company was acquired in 2017 by theChan Zuckerberg Initiative(CZI), a foundation established by Zuckerberg and his wife,Priscilla Chan, and became one of their projects.[56]Following the rebranding announcement, CZI announced that it had already decided to deprioritize the earlier Meta project, thus it would be transferring its rights to the name to Meta Platforms, and the previous project would end in 2022.[57]"
Meta,wikipedia,"Soon after the rebranding, in early February 2022, Meta reported a greater-than-expected decline in profits in the fourth quarter of 2021.[58]It reported no growth in monthly users,[59]and indicated it expected revenue growth to stall.[58]It also expected measures taken byApple Inc.to protect user privacy to cost it some $10 billion in advertisement revenue, an amount equal to roughly 8% of its revenue for 2021.[60]In meeting with Meta staff the day after earnings were reported, Zuckerberg blamed competition for user attention, particularly from video-based apps such asTikTok.[61]"
Meta,wikipedia,"The 27% reduction in the company's share price which occurred in reaction to the news eliminated some $230 billion of value from Meta'smarket capitalization.[59]Bloombergdescribed the decline as ""an epic rout that, in its sheer scale, is unlike anything Wall Street or Silicon Valley has ever seen"".[59]Zuckerberg's net worth fell by as much as $31 billion.[62]Zuckerberg owns 13% of Meta, and the holding makes up the bulk of his wealth.[63][64]"
Meta,wikipedia,"According to published reports byBloombergon March 30, 2022, Meta turned over data such as phone numbers, physical addresses, andIP addressesto hackers posing as law enforcement officials using forged documents. The law enforcement requests sometimes includedforged signaturesof real or fictional officials. When asked about the allegations, a Meta representative said, ""We review every data request for legal sufficiency and use advanced systems and processes to validate law enforcement requests and detect abuse.""[65]In June 2022,Sheryl Sandberg, the chief operating officer of 14 years, announced she would step down that year. Zuckerberg said thatJavier Olivanwould replace Sandberg, though in a “more traditional” role.[66]"
Meta,wikipedia,"In March 2022, Meta (except Meta-ownedWhatsApp) andInstagramwere banned in Russia and added to theRussian list of terrorist and extremist organizationsfor allegedRussophobiaandhate speech(up togenocidalcalls) amid the ongoingRussian invasion of Ukraine.[67]Meta appealed against the ban, but it was upheld by aMoscowcourt in June of the same year.[67]"
Meta,wikipedia,"Also in March 2022, Meta and Italian eyewear giantLuxotticareleasedRay-Ban Stories, a series ofsmartglasseswhich could play music and take pictures. Meta and Luxottica parent companyEssilorLuxotticadeclined to disclose sales on the line of products as of September 2022, though Meta has expressed satisfaction with its customer feedback.[68][69][70]"
Meta,wikipedia,"In July 2022, Meta saw its first year-on-year revenue decline when its total revenue slipped by 1% to $28.8bn.[71]Analysts and journalists accredited the loss to its advertising business, which has been limited by Apple'sapp tracking transparencyfeature and the number of people who have opted not to be tracked by Meta apps. Zuckerberg also accredited the decline to increasing competition from TikTok.[72][73][74]On October 27, 2022, Meta's market value dropped to $268 billion, a loss of around $700 billion compared to 2021, and its shares fell by 24%. It lost its spot among the top 20 US companies by market cap, despite reaching the top 5 in the previous year.[75]"
Meta,wikipedia,"In November 2022, Meta laid off 11,000 employees, 13% of its workforce. Zuckerberg said the decision to aggressively increase Meta's investments had been a mistake, as he had wrongly predicted that the surge in e-commerce would last beyond the COVID-19 pandemic. He also attributed the decline to increased competition, a global economic downturn and ""ads signal loss"".[76]Plans to lay off a further 10,000 employees began in April 2023.[77]The layoffs were part of a general downturn in the technology industry, alongside layoffs by companies includingGoogle,Amazon,Tesla,Snap,TwitterandLyft.[78][79]"
Meta,wikipedia,"Starting from 2022, Meta scrambled to catch up to other tech companies in adopting specialized artificial intelligence hardware and software. It had been using less expensiveCPUsinstead ofGPUsfor AI work, but that approach turned out to be less efficient.[80]The company gifted the Inter-university Consortium for Political and Social Research $1.3 million to finance the Social Media Archive's aim to make their data available to social science research.[81]"
Meta,wikipedia,"In 2023, Ireland'sData Protection Commissionerimposed a record EUR 1.2 billion fine on Meta for transferring data from Europe to the United States without adequate protections for EU citizens.[82]: 250"
Meta,wikipedia,"In March 2023, Meta announced a new round of layoffs that would cut 10,000 employees and close 5,000 open positions to make the company more efficient.[83]Meta revenue surpassed analyst expectations for the first quarter of 2023 after announcing that it was increasing its focus on AI.[84]On July 6, Meta launched a new app,Threads, a competitor to Twitter.[85]"
Meta,wikipedia,"Meta announced its artificial intelligence modelLlama2 in July 2023, available for commercial use via partnerships with major cloud providers like Microsoft. It was the first project to be unveiled out of Meta's generative AI group after it was set up in February. It would not charge access or usage but instead operate with an open-source model to allow Meta to ascertain what improvements need to be made. Prior to this announcement, Meta said it had no plans to release Llama 2 for commercial use. An earlier version of Llama was released to academics.[86][87]"
Meta,wikipedia,"In August 2023, Meta announced its permanent removal of news content from Facebook and Instagram in Canada due to theOnline News Act, which requires Canadian news outlets to be compensated for content shared on its platform. The Online News Act was in effect by year-end, but Meta will not participate in the regulatory process.[88]In October 2023, Zuckerberg said that AI would be Meta's biggest investment area in 2024.[89]Meta finished 2023 as one of the best-performing technology stocks of the year, with its share price up 150 percent.[90]Its stock reached an all-time high in January 2024, bringing Meta within 2% of achieving $1 trillion market capitalization.[91]"
Meta,wikipedia,"In November 2023 Meta Platforms launched an ad-free service inEurope, allowing subscribers to opt-out ofpersonal databeing collected for targeted advertising. A group of 28 European organizations, including Max Schrems' advocacy groupNOYB, theIrish Council for Civil Liberties,WikimediaEurope, and theElectronic Privacy Information Center, signed a 2024 letter to theEuropean Data Protection Board(EDPB) expressing concern that this subscriber model would undermine privacy protections, specificallyGDPRdata protection standards.[92]"
Meta,wikipedia,"Meta removed the Facebook and Instagram accounts of Iran's Supreme LeaderAli Khameneiin February 2024, citing repeated violations of its Dangerous Organizations & Individuals policy.[93]As of March, Meta was under investigation by the FDA for alleged use of their social media platforms to sell illegal drugs.[94]On 16 May 2024, theEuropean Commissionbegan an investigation into Meta over concerns related to child safety.[95][96][97][98]"
Meta,wikipedia,"In May 2023, Iraqi social media influencer Esaa Ahmed-Adnan encountered a troubling issue when Instagram removed his posts, citing false copyright violations despite his content being original and free from copyrighted material. He discovered that extortionists were behind these takedowns, offering to restore his content for $3,000 or provide ongoing protection for $1,000 per month. This scam, exploiting Meta’s rights management tools, became widespread in the Middle East, revealing a gap in Meta’s enforcement in developing regions. An Iraqi nonprofit Tech4Peace’s founder, Aws al-Saadi helped Ahmed-Adnan and others, but the restoration process was slow, leading to significant financial losses for many victims, including prominent figures likeAmmar al-Hakim. This situation highlighted Meta’s challenges in balancing global growth with effective content moderation and protection.[99]"
Meta,wikipedia,"On 16 September 2024, Meta announced it had banned Russian state media outlets from its platforms worldwide due to concerns about ""foreign interference activity."" This decision followed allegations thatRTand its employees funneled $10 million through shell companies to secretly fund influence campaigns on various social media channels. Meta's actions were part of a broader effort to counter Russian covert influence operations, which had intensified since the invasion.[100]"
Meta,wikipedia,"At its 2024 Connect conference, Meta presented Orion,[101]its first pair ofaugmented realityglasses. Though Orion was originally intended to be sold to consumers, the manufacturing process turned out to be too complex and expensive.[102]Instead, the company pivoted to producing a small number of the glasses to be used internally.[103]"
Meta,wikipedia,"On 4 October 2024, Meta announced about its new AI model called Movie Gen, capable of generating realistic video and audio clips based on user prompts. Meta stated it would not release Movie Gen for open development, preferring to collaborate directly with content creators and integrate it into its products by the following year. The model was built using a combination of licensed and publicly available datasets.[104]"
Meta,wikipedia,"On October 31, 2024,ProPublicapublished an investigation into deceptive political advertisement scams that sometimes use hundreds of hijacked profiles and facebook pages run by organized networks of scammers. The authors cited spotty enforcement by Meta as a major reason for the extent of the issue.[105]"
Meta,wikipedia,"In November 2024, TechCrunch reported that Meta were considering building a $10bn global underwater cable spanning 25,000 miles.[106]"
Meta,wikipedia,"In the same month, Meta closed down 2 million accounts on Facebook and Instagram that were linked to scam centers in Myanmar, Laos, Cambodia, the Philippines, and the United Arab Emirates doingpig butchering scams.[107]"
Meta,wikipedia,"In December 2024, Meta announced that, beginning February 2025, they would require advertisers to run ads about financial services in Australia to verify information about who are the beneficiary and the payer in a bid to regulate scams.[108]"
Meta,wikipedia,"On December 4, 2024, Meta announced it will invest US$10 billion for its largest AI data center in northeast Louisiana, powered by natural gas facilities.[109]"
Meta,wikipedia,"On the 11th of that month, Meta experienced a global outage, impacting accounts on all of their social media and messaging applications. Outage reports fromDownDetectorreached 70,000+ and 100,000+ within minutes for Instagram and Facebook, respectively.[110]"
Meta,wikipedia,"In January 2025, Meta announced plans to roll back itsdiversity, equity, and inclusion(DEI) initiatives, citing shifts in the ""legal and policy landscape"" in the United States followingthe 2024 presidential election. The decision followed reports that CEO Mark Zuckerberg sought to align the company more closely with theincoming Trump administration, including changes to content moderation policies and executive leadership.[111]The new content moderation policies continued to  bar insults about a person's intellect or mental illness, but made an exception to allow callingLGBTQpeople mentally ill because they are gay ortransgender.[112]Later that month, Meta agreed to pay $25 million to settle a 2021 lawsuit brought byDonald Trumpfor suspending his social media accounts after theJanuary 6 riots.[113]Changes to Meta's moderation policies were controversial among its oversight board, with a significant divide in opinion between the board's US conservatives and its global members.[114]"
Meta,wikipedia,"In June 2025, Meta Platforms Inc. has decided to make a multibillion-dollar investment into artificial intelligence startupScale AI. The financing could exceed $10 billion in value which would make it one of the largest private company funding events of all time.[115]"
Meta,wikipedia,"In October 2025, it was announced that Meta would be laying off 600 employees in the artificial intelligence unit to perform better and simpler. They referred to their AI unit as ""bloated"" and are seeking to trim down the department. This mass layoff is going to impact Meta’s AI infrastructure units, Fundamental Artificial Intelligence Research unit (FAIR) and other product-related positions.[116]"
Meta,wikipedia,"Meta has acquired multiple companies (often identified astalent acquisitions).[117]One of its first major acquisitions was in April 2012, when it acquiredInstagramfor approximately US$1 billion in cash and stock.[118]In October 2013, Facebook, Inc. acquiredOnavo, an Israelimobile web analyticscompany.[119][120]In February 2014, Facebook, Inc. announced it would buy mobile messaging companyWhatsAppfor US$19 billion in cash and stock.[121][122]The acquisition was completed on October 6.[123]Later that year, Facebook boughtOculus VRfor $2.3 billion in cash and stock,[124]which released its first consumer virtual reality headset in 2016. In late November 2019, Facebook, Inc. announced the acquisition of the game developer Beat Games, responsible for developing one of that year's most popular VR games,Beat Saber.[125]In Late 2022, after Facebook Inc rebranded to Meta Platforms Inc, Oculus was rebranded to Meta Quest."
Meta,wikipedia,"In May 2020, Facebook, Inc. announced it had acquiredGiphyfor a reported cash price of $400 million. It will be integrated with the Instagram team.[126]However, in August 2021, UK'sCompetition and Markets Authority(CMA) stated that Facebook, Inc. might have to sell Giphy, after an investigation found that the deal between the two companies would harm competition in display advertising market.[127]Facebook, Inc. was fined $70 million by CMA for deliberately failing to report all information regarding the acquisition and the ongoingantitrustinvestigation.[128]In October 2022, the CMA ruled for a second time that Meta be required to divest Giphy, stating that Meta already controls half of the advertising in the UK. Meta agreed to the sale, though it stated that it disagrees with the decision itself.[129]In May 2023, Giphy was divested toShutterstockfor $53million.[130]"
Meta,wikipedia,"In November 2020, Facebook, Inc. announced that it planned to purchase the customer-service platform and chatbot specialist startup Kustomer to promote companies to use their platform for business. It has been reported that Kustomer valued at slightly over $1 billion.[131]The deal was closed in February 2022 after regulatory approval.[132]"
Meta,wikipedia,"In December 2025, it was announced Meta had acquired the AI-wearables startup, Limitless.[134]"
Meta,wikipedia,"In 2020, Facebook, Inc. spent$19.7 milliononlobbying, hiring 79 lobbyists. In 2019, it had spent$16.7 millionon lobbying and had a team of 71 lobbyists, up from$12.6 millionand 51 lobbyists in 2018.[135]Facebook was the largest spender of lobbying money among theBig Techcompanies in 2020.[136]The lobbying team includes top congressional aide John Branscome, who was hired in September 2021, to help the company fend off threats from Democratic lawmakers and the Biden administration.[137]"
Meta,wikipedia,"In December 2024, Meta donated $1 million to the inauguration fund for then-President-elect Donald Trump.[138]"
Meta,wikipedia,"In 2025, Meta was listed among the donors funding the construction of theWhite House State Ballroom.[139]"
Meta,wikipedia,"In August 2024,Mark Zuckerbergsent a letter toJim Jordanindicating that during theCOVID-19 pandemictheBiden administrationrepeatedly asked Meta to limit certain COVID-19 content, including humor and satire, onFacebookandInstagram.[140]"
Meta,wikipedia,"In 2016 Meta hiredJordana Cutler, formerly an employee at the Israeli Embassy to the United States, as its policy chief for Israel and the Jewish Diaspora. In this role, Cutler pushed for the censorship of accounts belonging toStudents for Justice in Palestinechapters in the United States. Critics have said that Cutler's position gives the Israeli government an undue influence over Meta policy, and that few countries have such high levels of contact with Meta policymakers.[141]"
Meta,wikipedia,"Following the election ofDonald Trumpin 2025, various sources noted possible censorship related to theDemocratic Partyon Instagram and other Meta platforms.[142][143][144]In February 2025, a Meta rep flagged journalistGil Duran's article and other ""critiques of tech industry figures"" as spam or sensitive content, limiting their reach.[145]"
Meta,wikipedia,"In March 2025, Meta attempted to block former employee Sarah Wynn-Williams from promoting or further distributing her memoir,Careless People, that includes allegations of unaddressedsexual harassment in the workplaceby senior executives.The New York Timesreports that the arbitration is among Meta's most forcible attempts to repudiate a former employee's account of workplace dynamics.[146]PublisherMacmillanreacted to the ruling by the Emergency International Arbitral Tribunal by stating that it will ignore its provisions.[147]As of 15 March 2025[update], hardback and digital versions ofCareless Peoplewere being offered for sale by major online retailers."
Meta,wikipedia,"From October 2025, Meta began removing and restricting access for accounts related to LGBTQIA+, reproductive health and abortion information pages on its platforms. Martha Dimitratou, executive director of Repro Uncensored, called Meta's shadow-banning of these issues ""One of the biggest waves of censorship we are seeing""[148]."
Meta,wikipedia,"Since its inception, Meta has been accused of being a host for fake news and misinformation.[149]In the wake of the2016 United States presidential election, Zuckerberg began to take steps to eliminate the prevalence of fake news, as the platform had been criticized for its potential influence on the outcome of the election.[150]The company initially partnered withABC News, theAssociated Press,FactCheck.org,SnopesandPolitiFactfor itsfact-checkinginitiative;[151]as of 2018, it had over 40 fact-checking partners across the world, includingThe Weekly Standard.[152]"
Meta,wikipedia,"A May 2017 review byThe Guardianfound that the platform's fact-checking initiatives of partnering with third-party fact-checkers and publicly flagging fake news were regularly ineffective, and appeared to be having minimal impact in some cases.[153]In 2018, journalists working as fact-checkers for the company criticized the partnership, stating that it had produced minimal results and that the company had ignored their concerns.[152]"
Meta,wikipedia,"In 2024 Meta's decision to continue to disseminate a falsified video ofUS presidentJoe Biden, even after it had been proven to be fake, attracted criticism and concern.[154][155]"
Meta,wikipedia,"In January 2025, Meta ended its use of third-party fact-checkers in favor of a user-runcommunity notessystem similar to the one used on X.[156][157]"
Meta,wikipedia,"While Zuckerberg supported these changes, saying that the amount of censorship on the platform was excessive, the decision received criticism by fact-checking institutions, stating that the changes would make it more difficult for users to identify misinformation.[158]Meta also faced criticism for weakening its policies on hate speech that were designed to protect minorities and LGBTQ+ individuals from bullying and discrimination.[159][160][161]While moving its content review teams from California to Texas, Meta changed their hateful conduct policy to eliminate restrictions on anti-LGBT and anti-immigrant hate speech, as well as explicitly allowing users to accuse LGBT people of being mentally ill or abnormal based on their sexual orientation or gender identity.[162][163][164][165]"
Meta,wikipedia,"In January 2025, Meta faced significant criticism for its role in removing LGBTQ+ content from its platforms, amid its broader efforts to address anti-LGBTQ+ hate speech. The removal of LGBTQ+ themes was noted as part of the wider crackdown on content deemed to violate its community guidelines. Meta's content moderation policies, which were designed to combat harmful speech and protect users from discrimination, inadvertently led to the removal or restriction of LGBTQ+ content, particularly posts highlighting LGBTQ+ identities, support, or political issues. According to reports, LGBTQ+ posts, including those that simply celebrated pride or advocated for LGBTQ+ rights, were flagged and removed for reasons that some critics argue were vague or inconsistently applied. Many LGBTQ+ activists and users on Meta's platforms expressed concern that such actions stifled visibility and expression, potentially isolating LGBTQ+ individuals and communities, especially in spaces that were historically important for outreach and support.[159][161][160]"
Meta,wikipedia,"Numerous lawsuits have been filed against the company, both when it was known as Facebook, Inc., and as Meta Platforms."
Meta,wikipedia,"In March 2020, the Office of theAustralian Information Commissioner(OAIC) sued Facebook, for significant and persistent infringements of the rule on privacy involving theCambridge Analytica fiasco. Every violation of the Privacy Act is subject to a theoretical cumulative liability of $1.7 million. The OAIC estimated that a total of 311,127 Australians had been exposed.[166]"
Meta,wikipedia,"On December 8, 2020, the U.S.Federal Trade Commissionand 46 states (excluding Alabama, Georgia, South Carolina, and South Dakota), theDistrict of Columbiaand the territory ofGuam, launchedFederal Trade Commission v. Facebookas an antitrust lawsuit against Facebook. The lawsuit concerns Facebook's acquisition of two competitors—InstagramandWhatsApp—and the ensuing monopolistic situation. FTC alleges that Facebook holds monopolistic power in the U.S. social networking market and seeks to force the company to divest from Instagram and WhatsApp to break up the conglomerate.[167]William Kovacic, a former chairman of the Federal Trade Commission, argued the case will be difficult to win as it would require the government to create a counterfactual argument of an internet where the Facebook-WhatsApp-Instagram entity did not exist, and prove that harmed competition or consumers.[168]In November 2025, it was ruled that Meta did not violate antitrust laws and holds no monopoly in the market.[169]"
Meta,wikipedia,"On December 24, 2021, a court in Russia fined Meta for $27 million after the company declined to remove unspecified banned content. The fine was reportedly tied to the company's annual revenue in the country.[170]"
Meta,wikipedia,"In May 2022, a lawsuit was filed in Kenya against Meta and its local outsourcing companySama. Allegedly, Meta has poor working conditions in Kenya forworkers moderatingFacebook posts. According to the lawsuit, 260 screeners were declared redundant with confusing reasoning. The lawsuit seeks financial compensation and an order that outsourced moderators be given the same health benefits and pay scale as Meta employees.[171][172]"
Meta,wikipedia,"In June 2022, 8 lawsuits were filed across the U.S. over the allege that excessive exposure to platforms including Facebook and Instagram has led to attempted or actual suicides, eating disorders and sleeplessness, among other issues. The litigation follows a former Facebook employee's testimony in Congress that the company refused to take responsibility. The company noted that tools have been developed for parents to keep track of their children's activity on Instagram and set time limits, in addition to Meta's ""Take a break"" reminders. In addition, the company is providing resources specific to eating disorders as well as developing AI to prevent children under the age of 13 signing up for Facebook or Instagram.[173]"
Meta,wikipedia,"In June 2022, Meta settled a lawsuit with theUS Department of Justice. The lawsuit, which was filed in 2019, alleged that the company enabled housing discrimination through targeted advertising, as it allowed homeowners and landlords to run housing ads excluding people based on sex, race, religion, and other characteristics. The U.S. Department of Justice stated that this was in violation of theFair Housing Act. Meta was handed a penalty of $115,054 and given until December 31, 2022, to shadow the algorithm tool.[174][175][176]"
Meta,wikipedia,"In January 2023, Meta was fined €390 million for violations of the European UnionGeneral Data Protection Regulation.[177]"
Meta,wikipedia,"In May 2023, theEuropean Data Protection Boardfined Meta a record €1.2 billion for breaching European Union data privacy laws by transferring personal data of Facebook users to servers in the U.S.[178]"
Meta,wikipedia,"In July 2024, Meta agreed to pay the state ofTexasUS$1.4 billionto settle a lawsuit brought by Texas Attorney GeneralKen Paxtonaccusing the company of collecting users'biometricdata without consent, setting a record for the largest privacy-related settlement ever obtained by a state attorney general.[179]"
Meta,wikipedia,"In October 2024, Meta Platforms faced lawsuits in Japan from 30 plaintiffs who claimed they were defrauded by fake investment ads on Facebook and Instagram, featuring false celebrity endorsements. The plaintiffs are seeking approximately $2.8 million in damages.[180]"
Meta,wikipedia,"In April 2025, theKenyan High Courtruled that aUS$2.4 billionlawsuit in which three plaintiffs claim that Facebook inflamed civil violence inEthiopiain 2021 could proceed.[181]"
Meta,wikipedia,"In April 2025, Meta was fined €200 million ($230 million) for breaking theDigital Markets Act, by imposing a “consent or pay” system that forces users to either allow their personal data to be used to target advertisements, or pay a subscription fee for advertising-free versions ofFacebookandInstagram.[182]"
Meta,wikipedia,"In late April 2025, a case was filed against Meta in Ghana over the alleged psychological distress experienced by content moderators employed to take down disturbing social media content including depictions of murders, extreme violence and child sexual abuse.[183]Meta moved the moderation service to the Ghanaian capital of Accra after legal issues in the previous location Kenya. The new moderation company is Teleperformance, a multinational corporation with a history of worker's rights violation. Reports suggests the conditions are worse here than in the previous Kenyan location, with many workers afraid of speaking out due to fear of returning to conflict zones. Workers reported developing mental illnesses, attempted suicides, and low pay.[184]"
Meta,wikipedia,"In 2020,[185]the company UReputation, which had been involved in several cases concerning the management of digital armies[clarification needed],[186]filed a lawsuit against Facebook, accusing it of unlawfully transmitting personal data to third parties. Legal actions were initiated in Tunisia, France, and the United States. In 2025, the United States District court for the Northern District of Georgia approved a discovery procedure, allowing UReputation to access documents and evidence held by Meta.[187][188]"
Meta,wikipedia,"Meta Platforms is mainly owned byinstitutional investors, who hold around 80% of all shares.[196]Insiders control the majority of voting Shares. The three largest individual investors in 2024 were Mark Zuckerberg, Sheryl Sandberg and Christopher K. Cox.[197]"
Meta,wikipedia,"Roger McNamee, an early Facebook investor and Zuckerberg's former mentor, said Facebook had ""the most centralized decision-making structure I have ever encountered in a large company"".[198]"
Meta,wikipedia,"Facebook co-founder Chris Hughes has stated that chief executive officer Mark Zuckerberg has too much power, that the company is now a monopoly, and that, as a result, it should be split into multiple smaller companies. In anop-edinThe New York Times, Hughes said he was concerned that Zuckerberg had surrounded himself with a team that did not challenge him, and that it is the U.S. government's job to hold him accountable and curb his ""unchecked power"".[199]He also said that ""Mark's power is unprecedented and un-American.""[200]Several U.S. politicians agreed with Hughes.[201]European UnionCommissioner for CompetitionMargrethe Vestager stated that splitting Facebook should be done only as ""a remedy of the very last resort"", and that it would not solve Facebook's underlying problems.[202]"
Meta,wikipedia,"Facebook ranked No. 34 in the 2020Fortune 500list of the largest United States corporations by revenue, with almost $86 billion in revenue[218]most of it coming from advertising.[219][220]One analysis of 2017 data determined that the company earnedUS$20.21per user from advertising.[221]"
Meta,wikipedia,"According toNew York, since its rebranding, Meta has reportedly lost $500 billion as a result of new privacy measures put in place by companies such as Apple and Google which prevents Meta from gathering users' data.[222][223]"
Meta,wikipedia,"In February 2015,Facebookannounced it had reached two million active advertisers, with most of the gain coming from small businesses. An active advertiser was defined as an entity that had advertised on the Facebook platform in the last 28 days.[225]In March 2016, Facebook announced it had reached three million active advertisers with more than 70% from outside the United States.[226]Prices for advertising follow a variable pricing model based on auctioning ad placements, and potential engagement levels of the advertisement itself. Similar to other online advertising platforms like Google and Twitter, targeting of advertisements is one of the chief merits of digital advertising compared totraditional media. Marketing on Meta is employed through two methods based on the viewing habits, likes and shares, and purchasing data of the audience, namely targeted audiences and ""look alike"" audiences.[227]"
